"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"SRX2425111","SRX2425111","SRX2425111","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425112","SRX2425112","SRX2425112","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2433658","SRX2433658","SRX2433658","female","ovary","ovary","a","adult","SRP095292",NA
"SRX2440126","SRX2440126","SRX2440126","mixed","ventral nerve cord","neuron","a7","adult","SRP095530",NA
"SRX2440127","SRX2440127","SRX2440127","mixed","ventral nerve cord","neuron","a","adult","SRP095530",NA
"SRX2440128","SRX2440128","SRX2440128","mixed","ventral nerve cord","neuron","a7","adult","SRP095530",NA
"SRX2440129","SRX2440129","SRX2440129","mixed","ventral nerve cord","neuron","a","adult","SRP095530",NA
"SRX2440130","SRX2440130","SRX2440130","mixed","ventral nerve cord","neuron","a7","adult","SRP095530",NA
"SRX2440131","SRX2440131","SRX2440131","mixed","ventral nerve cord","neuron","a","adult","SRP095530",NA
"SRX2440132","SRX2440132","SRX2440132","mixed","ventral nerve cord","neuron","a7","adult","SRP095530",NA
"SRX2440133","SRX2440133","SRX2440133","mixed","ventral nerve cord","neuron","a7","adult","SRP095530",NA
"SRX2440134","SRX2440134","SRX2440134","mixed","ventral nerve cord","neuron","a7","adult","SRP095530",NA
"SRX2440135","SRX2440135","SRX2440135","mixed","ventral nerve cord","neuron","a","adult","SRP095530",NA
"SRX2446405","SRX2446405","SRX2446405","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446406","SRX2446406","SRX2446406","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446407","SRX2446407","SRX2446407","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446408","SRX2446408","SRX2446408","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446409","SRX2446409","SRX2446409","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446410","SRX2446410","SRX2446410","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446411","SRX2446411","SRX2446411","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446412","SRX2446412","SRX2446412","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446413","SRX2446413","SRX2446413","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446415","SRX2446415","SRX2446415","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446416","SRX2446416","SRX2446416","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446417","SRX2446417","SRX2446417","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446418","SRX2446418","SRX2446418","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446419","SRX2446419","SRX2446419","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446421","SRX2446421","SRX2446421","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446422","SRX2446422","SRX2446422","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2446423","SRX2446423","SRX2446423","unknown","wing disc","disc","l3","larva","SRP095697",NA
"SRX2462611","SRX2462611","SRX2462611","male","retina","retina","a10","adult","SRP096018",NA
"SRX2462615","SRX2462615","SRX2462615","male","head","head","a10","adult","SRP096018",NA
"SRX2462616","SRX2462616","SRX2462616","male","head","head","a10","adult","SRP096018",NA
"SRX2463544","SRX2463544","SRX2463544","unknown","whole body","whole body","a5","adult","SRP096061",NA
"SRX2463545","SRX2463545","SRX2463545","unknown","whole body","whole body","a5","adult","SRP096061",NA
"SRX2463546","SRX2463546","SRX2463546","unknown","whole body","whole body","a5","adult","SRP096061",NA
"SRX2463547","SRX2463547","SRX2463547","unknown","whole body","whole body","a5","adult","SRP096061",NA
"SRX246401","SRX246401","SRX246401","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246402","SRX246402","SRX246402","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246403","SRX246403","SRX246403","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246404","SRX246404","SRX246404","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246405","SRX246405","SRX246405","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246406","SRX246406","SRX246406","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246407","SRX246407","SRX246407","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246408","SRX246408","SRX246408","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246409","SRX246409","SRX246409","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246410","SRX246410","SRX246410","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246411","SRX246411","SRX246411","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246412","SRX246412","SRX246412","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246413","SRX246413","SRX246413","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246414","SRX246414","SRX246414","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246415","SRX246415","SRX246415","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246416","SRX246416","SRX246416","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246417","SRX246417","SRX246417","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246418","SRX246418","SRX246418","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246419","SRX246419","SRX246419","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246420","SRX246420","SRX246420","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246421","SRX246421","SRX246421","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246422","SRX246422","SRX246422","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246423","SRX246423","SRX246423","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX246424","SRX246424","SRX246424","unknown","whole body","whole body","a","adult","SRP001696",NA
"SRX2464543","SRX2464543","SRX2464543","male","whole body","whole body","a7","adult","SRP096117",NA
"SRX2464544","SRX2464544","SRX2464544","male","whole body","whole body","a7","adult","SRP096117",NA
"SRX2464545","SRX2464545","SRX2464545","male","whole body","whole body","a7","adult","SRP096117",NA
"SRX2464546","SRX2464546","SRX2464546","male","whole body","whole body","a7","adult","SRP096117",NA
"SRX2497528","SRX2497528","SRX2497528","female","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497529","SRX2497529","SRX2497529","female","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497530","SRX2497530","SRX2497530","female","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497531","SRX2497531","SRX2497531","female","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497532","SRX2497532","SRX2497532","female","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497534","SRX2497534","SRX2497534","male","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497535","SRX2497535","SRX2497535","male","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497536","SRX2497536","SRX2497536","male","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497538","SRX2497538","SRX2497538","male","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497539","SRX2497539","SRX2497539","male","whole body","whole body","a2","adult","SRP096878",NA
"SRX2497540","SRX2497540","SRX2497540","female","ovary","ovary","a2","adult","SRP096878",NA
"SRX2497541","SRX2497541","SRX2497541","female","ovary","ovary","a2","adult","SRP096878",NA
"SRX2497542","SRX2497542","SRX2497542","female","ovary","ovary","a2","adult","SRP096878",NA
"SRX2497543","SRX2497543","SRX2497543","female","ovary","ovary","a2","adult","SRP096878",NA
"SRX2497544","SRX2497544","SRX2497544","female","ovary","ovary","a2","adult","SRP096878",NA
"SRX2497545","SRX2497545","SRX2497545","female","ovary","ovary","a2","adult","SRP096878",NA
"SRX2497546","SRX2497546","SRX2497546","male","testis","testis","a2","adult","SRP096878",NA
"SRX2497547","SRX2497547","SRX2497547","male","testis","testis","a2","adult","SRP096878",NA
"SRX2497548","SRX2497548","SRX2497548","male","testis","testis","a2","adult","SRP096878",NA
"SRX2497549","SRX2497549","SRX2497549","male","testis","testis","a2","adult","SRP096878",NA
"SRX2497550","SRX2497550","SRX2497550","male","testis","testis","a2","adult","SRP096878",NA
"SRX2497551","SRX2497551","SRX2497551","male","testis","testis","a2","adult","SRP096878",NA
"SRX2498797","SRX2498797","SRX2498797","unknown","neuron","neuron","a0","adult","SRP096911",NA
"SRX2498799","SRX2498799","SRX2498799","unknown","neuron","neuron","a14","adult","SRP096911",NA
"SRX2498801","SRX2498801","SRX2498801","unknown","neuron","neuron","l3","larva","SRP096911",NA
"SRX2498802","SRX2498802","SRX2498802","unknown","neuron","neuron","l3","larva","SRP096911",NA
"SRX2498803","SRX2498803","SRX2498803","unknown","neuron","neuron","a14","adult","SRP096911",NA
"SRX2498805","SRX2498805","SRX2498805","unknown","neuron","neuron","a0","adult","SRP096911",NA
"SRX2498806","SRX2498806","SRX2498806","unknown","neuron","neuron","l3","larva","SRP096911",NA
"SRX2498807","SRX2498807","SRX2498807","unknown","neuron","neuron","l3","larva","SRP096911",NA
"SRX2498808","SRX2498808","SRX2498808","unknown","neuron","neuron","l3","larva","SRP096911",NA
"SRX2500426","SRX2500426","SRX2500426","unknown","cone cell","retina","l3","larva","SRP096971",NA
"SRX2500427","SRX2500427","SRX2500427","unknown","cone cell","retina","pre4","pupae","SRP096971",NA
"SRX2500428","SRX2500428","SRX2500428","unknown","cone cell","retina","a","adult","SRP096971",NA
"SRX2500429","SRX2500429","SRX2500429","unknown","photoreceptor cell","retina","a","adult","SRP096971",NA
"SRX2503734","SRX2503734","SRX2503734","unknown","crystal cell","blood cell","l3","larva","SRP097081",NA
"SRX2503735","SRX2503735","SRX2503735","unknown","crystal cell","blood cell","l3","larva","SRP097081",NA
"SRX2503736","SRX2503736","SRX2503736","unknown","crystal cell","blood cell","l3","larva","SRP097081",NA
"SRX2504297","SRX2504297","SRX2504297","male","testis","testis","a5","adult","SRP097109",NA
"SRX2504298","SRX2504298","SRX2504298","male","testis","testis","a5","adult","SRP097109",NA
"SRX2504299","SRX2504299","SRX2504299","male","testis","testis","a5","adult","SRP097109",NA
"SRX2504300","SRX2504300","SRX2504300","male","testis","testis","a5","adult","SRP097109",NA
"SRX2510838","SRX2510838","SRX2510838","female","ovary","ovary","a","adult","SRP097612",NA
"SRX2510839","SRX2510839","SRX2510839","female","ovary","ovary","a","adult","SRP097612",NA
"SRX2510840","SRX2510840","SRX2510840","female","ovary","ovary","a","adult","SRP097612",NA
"SRX2510841","SRX2510841","SRX2510841","female","ovary","ovary","a","adult","SRP097612",NA
"SRX2512366","SRX2512366","SRX2512366","unknown","head","head","a","adult","SRP045351",NA
"SRX2512368","SRX2512368","SRX2512368","unknown","head","head","a","adult","SRP045351",NA
"SRX2512369","SRX2512369","SRX2512369","unknown","head","head","a","adult","SRP045351",NA
"SRX2512371","SRX2512371","SRX2512371","unknown","head","head","a","adult","SRP045351",NA
"SRX2512372","SRX2512372","SRX2512372","unknown","head","head","a","adult","SRP045351",NA
"SRX2512373","SRX2512373","SRX2512373","unknown","head","head","a","adult","SRP045351",NA
"SRX2512374","SRX2512374","SRX2512374","unknown","head","head","a","adult","SRP045351",NA
"SRX2512375","SRX2512375","SRX2512375","unknown","head","head","a","adult","SRP045351",NA
"SRX2512376","SRX2512376","SRX2512376","unknown","head","head","a","adult","SRP045351",NA
"SRX2512377","SRX2512377","SRX2512377","unknown","head","head","a","adult","SRP045351",NA
"SRX2512378","SRX2512378","SRX2512378","unknown","head","head","a","adult","SRP045351",NA
"SRX2512379","SRX2512379","SRX2512379","unknown","head","head","a","adult","SRP045351",NA
"SRX2512380","SRX2512380","SRX2512380","unknown","head","head","a","adult","SRP045351",NA
"SRX2512381","SRX2512381","SRX2512381","unknown","head","head","a","adult","SRP045351",NA
"SRX2528147","SRX2528147","SRX2528147","male","head","head","a6","adult","SRP098580",NA
"SRX2528148","SRX2528148","SRX2528148","male","head","head","a6","adult","SRP098580",NA
"SRX2528150","SRX2528150","SRX2528150","male","head","head","a6","adult","SRP098580",NA
"SRX2528151","SRX2528151","SRX2528151","male","head","head","a6","adult","SRP098580",NA
"SRX2528152","SRX2528152","SRX2528152","male","head","head","a6","adult","SRP098580",NA
"SRX2528153","SRX2528153","SRX2528153","male","head","head","a6","adult","SRP098580",NA
"SRX2528154","SRX2528154","SRX2528154","male","head","head","a6","adult","SRP098580",NA
"SRX2531407","SRX2531407","SRX2531407","male","head and thorax","multiple tissue","a2","adult","SRP098679",NA
"SRX2531408","SRX2531408","SRX2531408","male","head and thorax","multiple tissue","a2","adult","SRP098679",NA
"SRX2531409","SRX2531409","SRX2531409","male","head and thorax","multiple tissue","a2","adult","SRP098679",NA
"SRX2532370","SRX2532370","SRX2532370","unknown","intestinal stem cell","gut","a7","adult","SRP098710",NA
"SRX2532371","SRX2532371","SRX2532371","unknown","intestinal stem cell","gut","a7","adult","SRP098710",NA
"SRX2532372","SRX2532372","SRX2532372","unknown","intestinal stem cell","gut","a7","adult","SRP098710",NA
"SRX2532373","SRX2532373","SRX2532373","unknown","intestinal stem cell","gut","a62","adult","SRP098710",NA
"SRX2532374","SRX2532374","SRX2532374","unknown","intestinal stem cell","gut","a62","adult","SRP098710",NA
"SRX2532375","SRX2532375","SRX2532375","unknown","intestinal stem cell","gut","a62","adult","SRP098710",NA
"SRX2534931","SRX2534931","SRX2534931","unknown","neuroblast","neuron","l1","larva","SRP098766",NA
"SRX2534932","SRX2534932","SRX2534932","unknown","neuroblast","neuron","l1","larva","SRP098766",NA
"SRX2534933","SRX2534933","SRX2534933","unknown","neuroblast","neuron","l1","larva","SRP098766",NA
"SRX2534934","SRX2534934","SRX2534934","unknown","neuroblast","neuron","l2","larva","SRP098766",NA
"SRX2534936","SRX2534936","SRX2534936","unknown","neuroblast","neuron","l2","larva","SRP098766",NA
"SRX2534937","SRX2534937","SRX2534937","unknown","neuroblast","neuron","l3","larva","SRP098766",NA
"SRX2534938","SRX2534938","SRX2534938","unknown","neuroblast","neuron","l2","larva","SRP098766",NA
"SRX2534939","SRX2534939","SRX2534939","unknown","neuroblast","neuron","l3","larva","SRP098766",NA
"SRX2534940","SRX2534940","SRX2534940","unknown","neuroblast","neuron","l3","larva","SRP098766",NA
"SRX2534941","SRX2534941","SRX2534941","unknown","neuroblast","neuron","l3","larva","SRP098766",NA
"SRX2534942","SRX2534942","SRX2534942","unknown","neuroblast","neuron","l3","larva","SRP098766",NA
"SRX2540522","SRX2540522","SRX2540522","unknown","embryo","embryo","e","embryo","SRP098924",NA
"SRX2540523","SRX2540523","SRX2540523","unknown","embryo","embryo","e","embryo","SRP098924",NA
"SRX2540524","SRX2540524","SRX2540524","unknown","embryo","embryo","e","embryo","SRP098924",NA
"SRX2540525","SRX2540525","SRX2540525","unknown","embryo","embryo","e","embryo","SRP098924",NA
"SRX2540526","SRX2540526","SRX2540526","unknown","embryo","embryo","e","embryo","SRP098924",NA
"SRX2540527","SRX2540527","SRX2540527","unknown","embryo","embryo","e","embryo","SRP098924",NA
"SRX2541753","SRX2541753","SRX2541753","mixed","embryo","embryo","e12","embryo","SRP098947",NA
"SRX2541754","SRX2541754","SRX2541754","mixed","embryo","embryo","e12","embryo","SRP098947",NA
"SRX2541755","SRX2541755","SRX2541755","mixed","embryo","embryo","e10","embryo","SRP098947",NA
"SRX2541756","SRX2541756","SRX2541756","mixed","embryo","embryo","e10","embryo","SRP098947",NA
"SRX2541757","SRX2541757","SRX2541757","mixed","embryo","embryo","e7","embryo","SRP098947",NA
"SRX2541758","SRX2541758","SRX2541758","mixed","embryo","embryo","e7","embryo","SRP098947",NA
"SRX2541759","SRX2541759","SRX2541759","mixed","embryo","embryo","e12","embryo","SRP098947",NA
"SRX2541760","SRX2541760","SRX2541760","mixed","embryo","embryo","e12","embryo","SRP098947",NA
